fwd_index,rev_index,Forward_Primer_2ndRd_Sequence,Reverse_Primer_2ndRd_Sequence,Sample
S5_A1,N7_A1,,,
S5_A2,N7_A2,,,
S5_A3,N7_A3,,,
S5_A4,N7_A4,,,
S5_A5,N7_A5,,,
S5_A6,N7_A6,,,
S5_A7,N7_A7,,,
S5_A8,N7_A8,,,
S5_A9,N7_A9,,,
S5_A10,N7_A10,,,
S5_A11,N7_A11,,,
S5_A12,N7_A12,,,
S5_A13,N7_A13,,,
S5_A14,N7_A14,,,
S5_A15,N7_A15,,,
S5_A16,N7_A16,,,
S5_A17,N7_A17,,,
S5_A18,N7_A18,,,
S5_A19,N7_A19,,,
S5_A20,N7_A20,,,
S5_A21,N7_A21,,,
S5_A22,N7_A22,,,
S5_A23,N7_A23,,,
S5_A24,N7_A24,,,
S5_B1,N7_B1,,,
S5_B2,N7_B2,,,
S5_B3,N7_B3,,,
S5_B4,N7_B4,,,
S5_B5,N7_B5,,,
S5_B6,N7_B6,,,
S5_B7,N7_B7,,,
S5_B8,N7_B8,,,
S5_B9,N7_B9,,,
S5_B10,N7_B10,,,
S5_B11,N7_B11,,,
S5_B12,N7_B12,,,
S5_B13,N7_B13,,,
S5_B14,N7_B14,,,
S5_B15,N7_B15,,,
S5_B16,N7_B16,,,
S5_B17,N7_B17,,,
S5_B18,N7_B18,,,
S5_B19,N7_B19,,,
S5_B20,N7_B20,,,
S5_B21,N7_B21,,,
S5_B22,N7_B22,,,
S5_B23,N7_B23,,,
S5_B24,N7_B24,,,
S5_C1,N7_C1,,,
S5_C2,N7_C2,,,
S5_C3,N7_C3,,,
S5_C4,N7_C4,,,
S5_C5,N7_C5,,,
S5_C6,N7_C6,,,
S5_C7,N7_C7,,,
S5_C8,N7_C8,,,
S5_C9,N7_C9,,,
S5_C10,N7_C10,,,
S5_C11,N7_C11,,,
S5_C12,N7_C12,,,
S5_C13,N7_C13,,,
S5_C14,N7_C14,,,
S5_C15,N7_C15,,,
S5_C16,N7_C16,,,
S5_C17,N7_C17,,,
S5_C18,N7_C18,,,
S5_C19,N7_C19,,,
S5_C20,N7_C20,,,
S5_C21,N7_C21,,,
S5_C22,N7_C22,,,
S5_C23,N7_C23,,,
S5_C24,N7_C24,,,
S5_D1,N7_D1,,,
S5_D2,N7_D2,,,
S5_D3,N7_D3,,,
S5_D4,N7_D4,,,
S5_D5,N7_D5,,,
S5_D6,N7_D6,,,
S5_D7,N7_D7,,,
S5_D8,N7_D8,,,
S5_D9,N7_D9,,,
S5_D10,N7_D10,,,
S5_D11,N7_D11,,,
S5_D12,N7_D12,,,
S5_D13,N7_D13,,,
S5_D14,N7_D14,,,
S5_D15,N7_D15,,,
S5_D16,N7_D16,,,
S5_D17,N7_D17,,,
S5_D18,N7_D18,,,
S5_D19,N7_D19,,,
S5_D20,N7_D20,,,
S5_D21,N7_D21,,,
S5_D22,N7_D22,,,
S5_D23,N7_D23,,,
S5_D24,N7_D24,,,
S5_E1,N7_E1,,,
S5_E2,N7_E2,,,
S5_E3,N7_E3,,,
S5_E4,N7_E4,,,
S5_E5,N7_E5,,,
S5_E6,N7_E6,,,
S5_E7,N7_E7,,,
S5_E8,N7_E8,,,
S5_E9,N7_E9,,,
S5_E10,N7_E10,,,
S5_E11,N7_E11,,,
S5_E12,N7_E12,,,
S5_E13,N7_E13,,,
S5_E14,N7_E14,,,
S5_E15,N7_E15,,,
S5_E16,N7_E16,,,
S5_E17,N7_E17,,,
S5_E18,N7_E18,,,
S5_E19,N7_E19,,,
S5_E20,N7_E20,,,
S5_E21,N7_E21,,,
S5_E22,N7_E22,,,
S5_E23,N7_E23,,,
S5_E24,N7_E24,,,
S5_F1,N7_F1,,,
S5_F2,N7_F2,,,
S5_F3,N7_F3,,,
S5_F4,N7_F4,,,
S5_F5,N7_F5,,,
S5_F6,N7_F6,,,
S5_F7,N7_F7,,,
S5_F8,N7_F8,,,
S5_F9,N7_F9,,,
S5_F10,N7_F10,,,
S5_F11,N7_F11,,,
S5_F12,N7_F12,,,
S5_F13,N7_F13,,,
S5_F14,N7_F14,,,
S5_F15,N7_F15,,,
S5_F16,N7_F16,,,
S5_F17,N7_F17,,,
S5_F18,N7_F18,,,
S5_F19,N7_F19,,,
S5_F20,N7_F20,,,
S5_F21,N7_F21,,,
S5_F22,N7_F22,,,
S5_F23,N7_F23,,,
S5_F24,N7_F24,,,
